id,name,website,email
1,Hopital Central de Yaounde,www.Hopitalcentral.cm,info@hopitalcentral.com
2,Hopital de district de Biyem-Assi,www.hopitalbiyemassi.cm,hopital_biyemasi@yahoo.fr
3,Hopital general de Yaounde,www.hopitalgeneralyaounde.cm,info@hopitalgeneralyaounde.com
4,Hopital General de Douala,www.hgd.cm,hgd@camnet.com
5,Hopital Laquintini (Douala),www.Hopitallaquintinie.cm,hopital_laquintinie@ yahoo.fr
6,Diabetes-Zentrum Duesseldorf/DZD,www.diabeteszentrumdueselseldorf.de,RezeptDiabetes@web.de
7,Deutsche Diabetes-Klinik/DDK,www.Diabetes-klinik-mergentheim.de,info@diabetes-zentrum.de
8,Universitaetsklinikum Carl Gustav Carus,www:Uniklinikum-dresden.de,info@uniklinikum-dresden.de
9,Uniklinik Koeln,www.Uk-koeln.de,info@uk-koeln.de
10,Universitaetsklinikum Tuebingen,www.Medezin.uni-tuebingen.de,service@med.uni-tuebingen.de
11,Joslin Diabetes Center (Boston),www.Joslin.org,info@med-joslin.com
12,Mayo Clinic (Rochester),www.Mayoclinic.org,officeofequity@mayo.edu
13,Cleveland Clinic,www.My.clevelandclinic.org,refdr@ccf.org
14,Texas Diabetes Institute (San Antonio),www.treatment.texasdiabetesinstitute.com,UH.CustomerService@uhtx.com
15,Barbara Davis Center for Diabetes (Aurora),www.medschool.cuanschutz.edu,anschutzdevelopment@ucdenver.edu
16,Siriraj Hospital (Bangkok),www.siphhospital.com,siiro@mahidol.ac.th
17,King Chulalongkorn Memorial Hospital (Bangkok),https://chulalongkornhospital.go.th,emchula@gmail.com
18,Bumrungrad International Hospital,www.bumrungradhospitalreferral.com,support@bumrungradinternationalhospital.com
19,Ramathibody Hospital (Bangkok),https://www.rama.mahidol.ac.th,info@mahidoltavi.com
20,Chiang Mai University Hospital (Chiang Mai),www.bangkokhospital-chiangmai.com,info@bangkokhospital-chiangmai.com
21,Westmead Hospital (Sydney),https://www.wslhd.health.nsw.gov.au/,wslhd-ich-records@health.nsw.gov.au
22,Royal Melbourne Hospital (Melbourne),https://www.thermh.org.au/,RMHHospitalInTheHome@mh.org.au
23,Princess Alexandra Hospital (Brisbane),https://metrosouth.health.qld.gov.au/,paht.health.records@nhs.net
24,John Hunter Hospital (Newcastle),https://www.hnehealth.nsw.gov.au/,HNELHD-ResearchOffice@health.nsw.gov.au
25,Royal Adelaide Hospital (Adelaide),https://www.rah.sa.gov.au/,HealthRAHMedRecInfoOfficer@sa.gov.au
