id,name,address,contact,email
1,PHARMACIE SAINTE URIEL,DERNIER POTEAU EKIE (Yaounde),652 73 22 65,
2,Pharmacie OBILI CHAPELLE,Chapelle Obili (Yaounde),694 28 56 83,
3,PHARMACIE POPULAIRE, A COTÉ DE DOVV ESSOS,222 23 23 41,
4,PHARMACIE ALLIENCE, ECOLE PUBLIQUE DE BASTOS,693 78 75 25,
5,Pharmacie DE CANA,Carrefour Jamot (Yaounde),+237 656 77 34 45,
6,Pharmacie Mercy,Bonaberi (Douala),+237 6 77 71 24 69,
7,Pharmacie de Douala,Boulevard Ahmadou Ahidjo (Douala), +237 6 98 00 26 69,pharmaciedouala@yahoo.fr
8,Pharmacie Gabriel Sarl,Carrefour Bon Fils (Douala),+237 33 41 53 32,
9,Pharmacie du Centre,17814 Rue Joffre (Douala),+237 6 91 75 60 50,
10,Pharmacie de la Cote,Bali (Douala), +237 6 96 83 62 34,
11,Center-Apotheke,"Hilde und Joseph Neyses Platz 5, 40476 Düsseldorf",0211/1 30 69 50,info@centerapotheke-duesseldorf.de
12,Fischerinsel-Apotheke,"Gertraudenstr. 18, 10178 Berlin-Mitte",030 / 76 77 18 44,gesundheit@fischerinsel-apotheke.de
13,Apotheke Am Koppenplatz,Koppenplatz 13-14 10115 Berlin, 030/28 59 83 13,info@apotheke-am-koppenplatz.de
14,Leine Apotheke,"Ernst-August-Platz 1, 30159 Hannover",0511 5334825,hbf@leineapotheke.de
15,Mozart-Apotheke,"Friedrich-Ebert-Damm 85, 22047 Hamburg",040/6 93 71 78,mozart-apotheke-hh@t-online.de
16,Viktoria-Apotheke,"Kampstr. 41, 44 Dortmund",0231/14 12 54,viktoria-apotheke-do@freenet.de
17,Germania-Apotheke,"Zonser Str. 43, 50733 Köln",0221/72 72 00,info@germania-apotheke-koeln.de
18,City Apotheke,"Königstraße 31, 90402 Nürnberg",0911/22 45 51,cityapotheke@arcor.de
19,Apotheke am Theater,"Bertoldstraße 31, 79098 Freiburg",0761-39212,theater@apotheke-freiburg.de
20,Central-Apotheke,"Grimmaische Str. 16, 04109 Leipzig",0341 / 46 23 19 0,bestellung@central-apotheke-leipzig.de
21,Central Pharmacy Boston,"1349 COMMONWEALTH AVE, ALLSTON, MA, 02134",617-254-5900,centralrx2015@gmail.com
22,Liberty Pharmacy,"8650 Spicewood Springs Road, Suite 106 Austin, TX 78759", 512-249-7500,libertypharmacy@gmail.com
23,Austin Pharmacy,"67-01 Austin Street, Forest Hills, NY, 11375",+1 (415) 251-2044,support@drgalen.org
24,Chicago Health Mart Pharmacy,"1260 W Devon Ave Chicago, IL 60660",(+1)773-856-0944,chicagohmpharmacy@gmail.com
25,Concord Pharmacy,"2500 Hospital Boulevard, Ste 300 Roswell, GA 30076",770-664-5428,roswell@concordrx.com
26,CLARK LOWCOST PHARMACY,"3107 Clark Ave. Cleveland, OH 44109",216-651-8685,info@lowcostpharmacies.com
